Column1,회사명,거래소코드,회계년도,감사의견코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,(주)그리티,204020,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,(주)그린플러스,186230,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,(주)그린플러스,186230,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,(주)글로벌스탠다드테크놀로지,83450,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,(주)글로벌스탠다드테크놀로지,83450,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,(주)글로벌스탠다드테크놀로지,83450,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,(주)글로벌스탠다드테크놀로지,83450,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,(주)글로벌스탠다드테크놀로지,83450,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,(주)글로벌스탠다드테크놀로지,83450,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,(주)글로벌스탠다드테크놀로지,83450,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,(주)글로벌스탠다드테크놀로지,83450,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,(주)글로벌스탠다드테크놀로지,83450,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,(주)글로벌스탠다드테크놀로지,83450,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,(주)글로벌스탠다드테크놀로지,83450,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,(주)금빛,45890,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,(주)금빛,45890,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,(주)금빛,45890,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,(주)금빛,45890,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,(주)금빛,45890,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,(주)금빛,45890,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,(주)금빛,45890,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,(주)금빛,45890,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,(주)금빛,45890,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,(주)금빛,45890,2020,DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,(주)금빛,45890,2021,사업보고서부재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,(주)금화피에스시,36190,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,(주)금화피에스시,36190,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,(주)금화피에스시,36190,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,(주)금화피에스시,36190,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,(주)금화피에스시,36190,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,(주)금화피에스시,36190,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,(주)금화피에스시,36190,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,(주)금화피에스시,36190,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,(주)금화피에스시,36190,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,(주)금화피에스시,36190,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,(주)금화피에스시,36190,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,(주)기가레인,49080,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,(주)기가레인,49080,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,(주)기가레인,49080,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,(주)기가레인,49080,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,(주)기가레인,49080,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,(주)기가레인,49080,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,(주)기가레인,49080,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,(주)기산텔레콤,35460,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,(주)기산텔레콤,35460,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,(주)기산텔레콤,35460,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,(주)기산텔레콤,35460,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,(주)기산텔레콤,35460,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,(주)기산텔레콤,35460,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,(주)기산텔레콤,35460,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,(주)기산텔레콤,35460,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,(주)기산텔레콤,35460,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,(주)기산텔레콤,35460,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,(주)기산텔레콤,35460,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,(주)까스텔바작,308100,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
