,총자본순이익률,총자산증가율,순이익증가율,운전자산회전율,현금흐름,금융비용대비매출액,자기자본비율,유형자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
617,-2.257676248462523,31.902042440686067,-293.02860032862395,988.67195397175,0.0238489595394717,1.9323892370068307,45.114620530113854,75.50202615570475,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
618,1.976774611706989,27.73998816374188,346.78574768459185,260.26440704273256,-3.008054571182091,2.551883090482032,49.776177567310015,2.4052178017272907,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
619,14.626670713979792,22.22915641321951,17.836591912517186,185.8207913983117,13.104182493041025,0.0,90.54612767300874,15.298770119337274,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
620,0.5949031278872157,0.9752890986791116,505.601977569046,88.97264874715832,6.331850452809943,2.6132567061398864,59.3067990468913,-10.700851481622486,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
621,-3.9762797343190255,0.6504071095759094,-217.56881928190043,934.852766107052,0.5735902817660345,0.8742119879070441,47.375066563344085,-8.262837262021618,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
622,8.404616065445895,5.01759121352391,58.37850899145964,144.35701669628577,12.708958411600047,0.6677111738482513,76.83577869228215,-4.449493020156387,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
623,0.2111924011855784,8.056943074922602,-93.08744509163874,55.72106602078972,3.2552506057111548,0.0902112416603654,97.6860648023812,39.88790503424946,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
624,5.238481882704815,12.21841593845276,128.78314308527422,139.42458622433335,8.685623709586801,0.2805068922500888,73.0068998400195,-2.485421076608705,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
625,0.0483386503800315,-5.199953591111028,-99.13487908104088,130.11168057057395,0.5293121920325771,0.1830874710200375,79.95514391153988,56.32970929549342,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
626,-0.1883988769792307,3.2029291819623067,-107.58380711145578,97.8481072089024,6.834738681436528,0.0029461703575665,78.63681416915233,3.310452102612101,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
627,10.707802348533155,12.84916725954266,23.91901345927125,83.51944023839172,12.283250059378997,0.0,90.72124773671162,9.62831866879148,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
628,0.2491061152482773,4.815920931086796,-79.87096368566904,632.0625845570734,-9.459040066588702,0.8201836669543378,28.1323081407546,-0.2260786980158313,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
629,3.571036892623216,7.516611237035805,-42.10864509496072,72.73466776210797,5.539158464734632,0.0,95.57448453935028,66.22923847762192,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
630,-0.7953366536399602,-30.89166727092647,-105.4351804195571,2656.082770418458,8.569964755486863,2.9181796225231045,30.25492907369654,-12.557701989702078,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
631,-21.55373923116811,25.86356833392906,-304.52530340997635,-42.84970669252444,-5.447123391594507,48.69308967898307,38.37705387766656,-52.33130041314185,0.0,1,0,0,0,0,0,0,0,0,0,0,2016
