회사명,거래소코드,회계년도,자산,유동자산,재고자산,매출채권및기타유동채권,비유동자산,유형자산,부채,유동부채,장기차입금,단기차입금,장기사채,단기사채,유동성장기부채,자본,매출원가,매출액,당기순이익,판매비와관리비,(정상)영업손익,법인세비용차감전순이익,급여,세금과공과,이자비용,기말자본금,기초자본금,유무형자산등상각비,대손상각비,감가상각비,영업활동으로인한현금흐름
(주)골프존뉴딘홀딩스,121440,2019/09,803670988,101537766,50465410,15492611,702133221,362229752,334360997,102522350,172973506,59716844,0,0,0,469309991,107804088,175460171,-12411547,68350497,-694413,-8774479,17901918,1056777,7608090,21418409,21418409,15716,903419,7503399,-432212
(주)골프존뉴딘홀딩스,121440,2020/09,795076267,152490530,51367209,17982040,642585737,354948680,336110624,71708568,206408906,17814000,0,0,2392857,458965643,128320384,221691265,16846449,63641953,29728928,24487308,17898189,1063822,6994179,21418409,21418409,12914,275168,7251775,17328244
(주)골프존뉴딘홀딩스,121440,2021/09,853589624,133827199,60907038,23515098,719762425,78630444,339430738,201246497,83858262,12024000,0,0,122627965,514158886,183076176,318214227,48912035,71007680,64130372,59495044,20716831,1198142,6004849,21418409,21418409,12193,21484,8691080,13638050
(주)공구우먼,366030,2021/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2013/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2014/09,238521266,148631519,92024590,35633359,89889747,55937443,118507701,85572620,23018633,51122527,0,0,371985,120013565,120053621,161212836,-610198,39860467,1298748,-749601,12923524,469295,2433956,19119243,19119243,2682,128925,1041703,-11647496
(주)광림,14200,2015/09,248264242,149756291,84298075,44031886,98507951,57814514,110534328,98366893,2723281,58215167,0,0,15446243,137729914,124893282,166483291,-2802007,42842374,-1252365,-2189984,13874147,509420,2326416,19119243,19119243,2775,1048726,1138178,-10057281
(주)광림,14200,2016/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,14200,2017/09,236327049,99008876,29767216,25327219,137318173,64414048,117571356,89539718,623400,43161928,20000000,0,526082,118755693,95830111,101710235,-12208569,11611933,-5731809,-12379053,5441739,306838,2505999,24249243,24249243,5386,0,158886,-10002129
